Opportunity ID,Business Account,Status,Stage,Estimated amount,Amount received,Difference,Class ID,Class,Programme financé
2025,C01281,New,Won,27059.52,0.0,-27059.52,PPRIV DONN,Private partnership - Donation in kind,Job dans la Ville
2023,C00366,Won,Won,446.4,446.4,0.0,CAMP SAL,Campus - Room,
2022,C00097,New,Won,5000.0,0.0,-5000.0,PPRIV MEC,Private partnership - Patronage,Non fléché
2021,C01196,Won,Won,5695.0,5695.0,0.0,PPUB,Public partnership,"Sport, Job dans la Ville, Réussite dans la Ville"
2019,C00584,Won,Won,4273.0,4273.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2017,C00049,Won,Won,5000.0,5000.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2016,C02803,Won,Won,627.0,627.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2014,C00552,Won,Won,2929.0,2929.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2013,C00041,Won,Won,5298.0,5298.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2012,C00644,Won,Won,6000.0,6000.0,0.0,PPRIV EVNT,Private partnership - Event,
2011,C00644,Won,Won,7000.0,7000.0,0.0,PPRIV EVNT,Private partnership - Event,
2010,C00644,Won,Won,25000.0,25000.0,0.0,PPRIV EVNT,Private partnership - Event,
2009,C00571,Won,Won,1500.0,1500.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2008,C00092,Won,Won,5000.0,5000.0,0.0,PPRIV MEC,Private partnership - Patronage,Sport
2007,C01505,Won,Won,5000.0,5000.0,0.0,PPRIV MEC,Private partnership - Patronage,Entrepreneurs dans la Ville
2006,C00523,Won,Won,5000.0,5000.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2005,C00573,Won,Won,15000.0,15000.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2004,C00750,Won,Won,1803.09,1803.09,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2003,C00128,Won,Won,6805.38,6805.38,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2002,C00593,Won,Won,97.47,97.47,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2001,C00593,Won,Won,722.61,722.61,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2000,C00593,Won,Won,45.33,45.33,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1999,C00593,Won,Won,138.23,138.23,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
