Opportunity ID,Business Account,Contact ID,Estimated Close Date,Status,Stage,Probability,Estimated amount,Amount received,Difference,Class ID,Class,Programme financé,Agreement,Created On,Last Modified Date,Actual Close Date,Assignment Date
5427,C17748,46181.0,2023-07-28 00:00:00.000,Won,Won,100,4000.0,4000.0,0.0,PPRIV EVNT,Private partnership - Event,,,2023-03-29 16:46:49.903,2023-09-11 11:41:13.960,2023-09-11 00:00:00.000,2023-03-29 16:46:14.487
5426,C17747,46179.0,2023-08-01 00:00:00.000,New,Lost,0,4000.0,0.0,-4000.0,PPRIV EVNT,Private partnership - Event,,,2023-03-29 16:43:13.583,2023-07-24 15:51:34.703,,2023-03-29 16:42:37.067
5425,C01214,46177.0,2023-08-01 00:00:00.000,Won,Won,100,8000.0,8000.0,0.0,PPRIV EVNT,Private partnership - Event,,,2023-03-29 16:19:03.377,2023-05-30 15:59:29.720,2023-05-30 00:00:00.000,2023-03-29 16:18:25.913
5424,C00101,41102.0,2023-08-01 00:00:00.000,New,Won,100,4000.0,0.0,-4000.0,PPRIV EVNT,Private partnership - Event,,,2023-03-29 16:13:33.957,2023-06-07 09:54:14.677,,2023-03-29 16:12:42.237
5423,C06292,46176.0,2023-08-01 00:00:00.000,New,Won,100,4000.0,0.0,-4000.0,PPRIV EVNT,Private partnership - Event,,,2023-03-29 15:57:03.083,2023-03-29 15:57:36.707,,2023-03-29 15:56:30.977
5422,C01216,41487.0,2023-08-01 00:00:00.000,New,Won,100,4000.0,0.0,-4000.0,PPRIV EVNT,Private partnership - Event,,,2023-03-29 15:53:19.337,2023-03-29 15:53:44.347,,2023-03-29 15:52:54.783
5421,C00568,46175.0,2023-08-01 00:00:00.000,Won,Won,100,4000.0,4000.0,0.0,PPRIV EVNT,Private partnership - Event,,,2023-03-29 15:49:06.463,2023-06-26 11:02:44.583,2023-06-26 00:00:00.000,2023-03-29 15:48:43.110
5420,C06293,41512.0,2023-08-01 00:00:00.000,Won,Won,100,4000.0,4000.0,0.0,PPRIV EVNT,Private partnership - Event,,,2023-03-29 15:43:53.730,2023-06-26 11:02:56.800,2023-06-26 00:00:00.000,2023-03-29 15:43:20.260
5419,C00475,41481.0,2023-08-01 00:00:00.000,New,Won,100,4000.0,0.0,-4000.0,PPRIV EVNT,Private partnership - Event,,,2023-03-29 15:38:40.897,2023-03-29 15:39:10.607,,2023-03-29 15:38:07.507
5418,C01217,46174.0,2023-08-01 00:00:00.000,Won,Won,100,4000.0,4000.0,0.0,PPRIV EVNT,Private partnership - Event,,,2023-03-29 15:35:22.590,2023-06-26 11:03:13.883,2023-06-26 00:00:00.000,2023-03-29 15:34:49.807
